Designator,Mid X,Mid Y,Rotation,Layer
H1,125.0,-131.0,0.0,top
H10,55.0,-145.0,0.0,top
H11,55.0,-55.0,0.0,top
H12,215.0,-55.0,0.0,top
H13,105.4,-86.45,180.0,bottom
H14,165.4,-86.45,180.0,bottom
H15,165.4,-113.45,180.0,bottom
H2,125.0,-63.0,0.0,top
H20,58.0,-101.0,90.0,top
H21,58.0,-67.0,90.0,top
H22,92.0,-101.0,90.0,top
H23,92.0,-67.0,90.0,top
H3,210.0,-63.0,0.0,top
H4,210.0,-131.0,0.0,top
H5,204.3,-73.413253,180.0,bottom
H6,204.3,-123.413253,180.0,bottom
H7,109.3,-123.413253,180.0,bottom
H8,109.3,-73.413253,180.0,bottom
H9,215.0,-145.0,0.0,top
